ID,gender,race,DOB_yr,lsat,ugpa,fulltime,bar_score,index6040
2,1,white,1969,44,3.5,1,323,886.842082
3,1,white,1969,29,3.5,1,323,649.999987
36,0,white,1965,36,3.5,1,323,760.526298
52,0,white,1958,39,3.5,1,323,807.894717
55,0,white,1968,48,3.5,1,323,949.999974
72,1,white,1968,40,3.5,1,323,823.68419
74,1,white,1969,34,3.5,1,323,728.947352
89,0,white,1955,40,3.5,0,323,823.68419
109,0,white,1968,40,3.5,1,323,823.68419
143,1,hisp,1969,28,3.5,1,323,634.210514
144,1,white,1967,33,3.5,1,323,713.157879
146,1,white,1969,36,3.5,1,323,760.526298
158,0,white,1969,34,3.5,1,323,728.947352
160,1,white,1969,31,3.5,1,323,681.578933
174,0,white,1968,42,3.5,1,323,855.263136
202,1,white,1970,34,3.5,1,323,728.947352
208,0,asian,1969,39,3.5,1,323,807.894717
213,1,white,1969,33,3.5,1,323,713.157879
231,1,white,1961,44,3.5,1,323,886.842082
268,1,white,1961,39,3.5,1,323,807.894717
269,1,white,1969,32,3.5,1,323,697.368406
319,1,white,1969,30,3.5,1,323,665.78946
326,1,white,1966,36,3.5,1,323,760.526298
328,1,white,1968,38,3.5,1,323,792.105244
337,0,white,1968,35,3.5,1,323,744.736825
350,1,white,1966,31,3.5,1,323,681.578933
377,0,white,1969,47,3.5,1,323,934.210501
381,1,white,1969,40,3.5,1,323,823.68419
388,1,white,1968,30,3.5,1,323,665.78946
389,0,white,1951,34,3.5,1,323,728.947352
392,0,white,1956,39,3.5,1,323,807.894717
393,0,white,1970,48,3.5,1,323,949.999974
401,0,white,1968,37,3.5,1,323,776.315771
410,1,white,1969,39,3.5,1,323,807.894717
445,1,white,1969,33,3.5,1,323,713.157879
462,0,white,1967,45,3.5,1,323,902.631555
478,1,white,1965,36,3.5,1,323,760.526298
482,0,white,1967,44,3.5,1,323,886.842082
485,0,white,1969,30,3.5,1,323,673.6841965
491,0,white,1955,40,3.5,1,323,823.68419
493,1,white,1969,48,3.5,1,323,949.999974
536,1,white,1958,39,3.5,1,323,807.894717
580,1,white,1954,31,3.5,0,323,681.578933
586,0,white,1969,33,3.5,1,323,721.0526155
599,1,white,1968,31,3.5,1,323,681.578933
602,0,white,1969,32,3.5,1,323,697.368406
610,0,white,1966,38,3.5,1,323,792.105244
626,1,white,1969,30,3.5,1,323,665.78946
634,0,white,1968,37,3.5,1,323,776.315771
642,1,white,1967,32,3.5,1,323,697.368406
647,1,white,1966,34,3.5,1,323,728.947352
657,0,white,1965,35,3.5,1,323,744.736825
692,1,white,1967,44,3.5,1,323,886.842082
694,0,white,1967,30,3.5,1,323,673.6841965
726,1,white,1961,32,3.5,1,323,697.368406
727,1,white,1970,37,3.5,1,323,776.315771
735,1,white,1968,28,3.5,1,323,634.210514
744,0,white,1966,39,3.5,1,323,807.894717
793,0,white,1966,35,3.5,1,323,744.736825
795,1,black,1970,37,3.5,1,323,776.315771
807,0,white,1967,46,3.5,1,323,918.421028
812,0,white,1966,39,3.5,1,323,807.894717
823,0,white,1969,33,3.5,1,323,713.157879
842,1,white,1951,43,3.5,1,323,871.052609
847,1,white,1969,34,3.5,1,323,728.947352
862,1,white,1968,33,3.5,1,323,713.157879
879,1,white,1962,43,3.5,1,323,871.052609
888,1,white,1966,41,3.5,1,323,839.473663
894,1,white,1964,40,3.5,1,323,823.68419
918,1,white,1961,33,3.5,1,323,713.157879
920,0,white,1967,35,3.5,1,323,744.736825
967,1,white,1968,42,3.5,1,323,855.263136
1006,0,asian,1965,36,3.5,1,323,760.526298
1018,1,white,1954,46,3.5,1,323,918.421028
1054,1,white,1968,38,3.5,1,323,792.105244
1081,1,white,1969,36,3.5,1,323,760.526298
1091,0,white,1968,35,3.5,1,323,744.736825
1143,0,white,1966,37,3.5,1,323,776.315771
1145,1,white,1962,37,3.5,1,323,787.3684021
1147,0,white,1968,43,3.5,1,323,871.052609
1161,0,hisp,1970,31,3.5,1,323,681.578933
1178,1,white,1954,42,3.5,1,323,855.263136
1189,0,white,1955,35,3.5,0,323,744.736825
1191,0,white,1969,43,3.5,1,323,878.9473455
1194,0,white,1969,29,3.5,1,323,649.999987
1200,1,white,1949,38,3.5,1,323,792.105244
1211,0,white,1969,37,3.5,1,323,776.315771
1253,0,white,1962,40,3.5,1,323,823.68419
1280,0,white,1969,44,3.5,1,323,886.842082
1300,0,white,1967,43,3.5,1,323,871.052609
1343,0,black,1968,37,3.5,1,323,776.315771
1348,0,white,1966,38,3.5,1,323,792.105244
1390,1,white,1970,41,3.5,1,323,839.473663
1397,0,white,1956,45,3.5,1,323,902.631555
1399,0,white,1968,32,3.5,1,323,705.2631425
1409,0,white,1969,35,3.5,1,323,744.736825
1427,1,white,1966,29,3.5,1,323,649.999987
1460,1,white,1964,32,3.5,1,323,697.368406
1462,1,white,1969,39,3.5,1,323,807.894717
1466,0,white,1961,40,3.5,1,323,823.68419
1525,0,white,1968,45,3.5,1,323,902.631555
1527,1,white,1964,35,3.5,1,323,744.736825
1562,0,white,1968,29,3.5,1,323,649.999987
1566,0,white,1969,46,3.5,1,323,918.421028
1581,1,white,1969,44,3.5,1,323,886.842082
1583,1,white,1968,40,3.5,1,323,823.68419
1593,1,white,1969,42,3.5,1,323,855.263136
1596,1,white,1969,32,3.5,1,323,697.368406
1621,1,white,1969,43,3.5,1,323,871.052609
