year,type,cases,approved,rate_approved,refused,rate_refused,dismissed,court_order,rate_court_order,penalties,avg_penalties,legal_proceedings,category
2016,"О расторжении брака супругов, имеющих детей",80875.0,80728.0,0.9981823802163832,147.0,0.0018176197836166,11510.0,103.0,0.0012735703245749,41586.0,1.0,Гражданское,Семейные
2017,"О расторжении брака супругов, имеющих детей",78767.0,78627.0,0.998222605913644,140.0,0.0017773940863559,11045.0,0.0,0.0,48783.0,1.0,Гражданское,Семейные
2016,О расторжении брака бездетных супругов или имеющих взрослых детей,444.0,387.0,0.8716216216216216,57.0,0.1283783783783783,68.0,89.0,0.2004504504504504,442.0,1.0,Гражданское,Семейные
2017,О расторжении брака бездетных супругов или имеющих взрослых детей,487.0,373.0,0.7659137577002053,114.0,0.2340862422997946,87.0,0.0,0.0,8665.0,23.0,Гражданское,Семейные
2016,О признании брака недействительным,89.0,37.0,0.4157303370786517,52.0,0.5842696629213483,12.0,0.0,0.0,1055.0,29.0,Гражданское,Семейные
2017,О признании брака недействительным,262.0,135.0,0.5152671755725191,127.0,0.4847328244274809,52.0,44.0,0.1679389312977099,5327.0,39.0,Гражданское,Семейные
2016,"Об изменении, расторжении и признании недействительным брачного договора",21400.0,18854.0,0.8810280373831776,2546.0,0.1189719626168224,9530.0,4.0,0.0001869158878504,7611383.0,404.0,Гражданское,Семейные
2017,"Об изменении, расторжении и признании недействительным брачного договора",22814.0,20105.0,0.8812571228193214,2709.0,0.1187428771806785,9936.0,7.0,0.0003068291400017,4640787.0,231.0,Гражданское,Семейные
2016,О разделе совместно нажитого имущества между супругами,245.0,173.0,0.7061224489795919,72.0,0.2938775510204082,64.0,0.0,0.0,9075.0,52.0,Гражданское,Семейные
2017,О разделе совместно нажитого имущества между супругами,595.0,386.0,0.6487394957983194,209.0,0.3512605042016806,156.0,0.0,0.0,13858.0,36.0,Гражданское,Семейные
2016,О выделе доли супруга-должника из общего имущества супругов для обращения на нее взыскания,4502.0,3970.0,0.8818302976454909,532.0,0.1181697023545091,515.0,847.0,0.1881386050644158,37049.0,9.0,Гражданское,Семейные
2017,О выделе доли супруга-должника из общего имущества супругов для обращения на нее взыскания,3742.0,3153.0,0.8425975414216996,589.0,0.1574024585783003,515.0,0.0,0.0,15571.0,5.0,Гражданское,Семейные
2016,О взыскании алиментов на содержание совершеннолетнего нетрудоспособного члена семьи,322353.0,318897.0,0.9892788340732056,3456.0,0.0107211659267945,7359.0,226208.0,0.7017400179306537,5797388.0,18.0,Гражданское,Семейные
2017,О взыскании алиментов на содержание совершеннолетнего нетрудоспособного члена семьи,313485.0,310299.0,0.9898368342982918,3186.0,0.0101631657017082,6252.0,229794.0,0.7330302885305517,845907.0,3.0,Гражданское,Семейные
2016,О взыскании алиментов на содержание несовершеннолетних детей,1017.0,886.0,0.8711897738446411,131.0,0.1288102261553589,62.0,52.0,0.0511307767944936,153323.0,173.0,Гражданское,Семейные
2017,О взыскании алиментов на содержание несовершеннолетних детей,1784.0,1552.0,0.8699551569506726,232.0,0.1300448430493273,82.0,356.0,0.1995515695067264,174987.0,113.0,Гражданское,Семейные
2016,"Об определении размера задолженности по алиментам, в т.ч. определенной судебным приставом-исполнителем",14873.0,14246.0,0.9578430713373228,627.0,0.0421569286626773,1570.0,2.0,0.0001344718617629,39376.0,3.0,Гражданское,Семейные
2017,"Об определении размера задолженности по алиментам, в т.ч. определенной судебным приставом-исполнителем",13172.0,12764.0,0.9690252049802612,408.0,0.0309747950197388,1383.0,0.0,0.0,17546.0,1.0,Гражданское,Семейные
2016,Об установлении отцовства,4815.0,4287.0,0.8903426791277259,528.0,0.1096573208722741,668.0,3.0,0.0006230529595015,3572.0,1.0,Гражданское,Семейные
2017,Об установлении отцовства,8815.0,7652.0,0.8680657969370391,1163.0,0.1319342030629608,1337.0,0.0,0.0,7256.0,1.0,Гражданское,Семейные
2016,Об оспаривании отцовства (материнства),47484.0,40890.0,0.8611321708364923,6594.0,0.1388678291635077,2441.0,0.0,0.0,51673.0,1.0,Гражданское,Семейные
2017,Об оспаривании отцовства (материнства),43342.0,36970.0,0.8529832495039453,6372.0,0.1470167504960546,2104.0,0.0,0.0,44244.0,1.0,Гражданское,Семейные
2016,О лишении родительских прав,3496.0,2978.0,0.8518306636155606,518.0,0.1481693363844393,,0.0,0.0,197.0,0.0,Гражданское,Семейные
2017,О лишении родительских прав,6213.0,5184.0,0.834379526798648,1029.0,0.165620473201352,645.0,0.0,0.0,1831.0,0.0,Гражданское,Семейные
2016,Об ограничении родительских прав,1543.0,1173.0,0.7602073882047958,370.0,0.2397926117952041,87.0,2.0,0.001296176279974,124.0,0.0,Гражданское,Семейные
2017,Об ограничении родительских прав,2779.0,2043.0,0.7351565311263044,736.0,0.2648434688736956,151.0,0.0,0.0,286.0,0.0,Гражданское,Семейные
2016,О восстановлении в родительских правах,411.0,310.0,0.754257907542579,101.0,0.2457420924574209,41.0,0.0,0.0,65.0,0.0,Гражданское,Семейные
2017,О восстановлении в родительских правах,379.0,285.0,0.7519788918205804,94.0,0.2480211081794195,39.0,0.0,0.0,19.0,0.0,Гражданское,Семейные
2016,Об отмене усыновления детей,180.0,150.0,0.8333333333333334,30.0,0.1666666666666666,58.0,0.0,0.0,4693.0,31.0,Гражданское,Семейные
2017,Об отмене усыновления детей,457.0,402.0,0.8796498905908097,55.0,0.1203501094091903,123.0,0.0,0.0,3689.0,9.0,Гражданское,Семейные
2016,"Споры, связанные с осуществлением несовершеннолетними своих прав",140.0,107.0,0.7642857142857142,33.0,0.2357142857142857,35.0,0.0,0.0,1.0,0.0,Гражданское,Семейные
2017,"Споры, связанные с осуществлением несовершеннолетними своих прав",52.0,36.0,0.6923076923076923,16.0,0.3076923076923077,12.0,0.0,0.0,12810.0,356.0,Гражданское,Семейные
2016,О возвращении ребенка или об осуществлении в отношении ребенка прав доступа на основании международного договора Российской Федерации,239.0,159.0,0.6652719665271967,80.0,0.3347280334728033,21.0,2.0,0.00836820083682,1392.0,9.0,Гражданское,Семейные
2017,О возвращении ребенка или об осуществлении в отношении ребенка прав доступа на основании международного договора Российской Федерации,306.0,234.0,0.7647058823529411,72.0,0.2352941176470588,35.0,0.0,0.0,112.0,0.0,Гражданское,Семейные
2016,О признании недействительным решения об отказе в распоряжении средствами (частью средств) материнского (семейного) капитала,1031.0,976.0,0.9466537342386032,55.0,0.0533462657613967,250.0,0.0,0.0,16412.0,17.0,Гражданское,Семейные
2017,О признании недействительным решения об отказе в распоряжении средствами (частью средств) материнского (семейного) капитала,2224.0,2120.0,0.9532374100719424,104.0,0.0467625899280575,583.0,0.0,0.0,36362.0,17.0,Гражданское,Семейные
2016,"Иные споры, возникающие при реализации закона материнском (семейном) капиталеО признании недействительным акта органов опеки и попечительства, в том числе о назначении опекуном (попечителем), об освобождении, отстранении опекуна (попечителя) от исполнения",114.0,61.0,0.5350877192982456,53.0,0.4649122807017544,20.0,0.0,0.0,349.0,6.0,Гражданское,Семейные
2017,"Иные споры, возникающие при реализации закона материнском (семейном) капиталеО признании недействительным акта органов опеки и попечительства, в том числе о назначении опекуном (попечителем), об освобождении, отстранении опекуна (попечителя) от исполнения",163.0,76.0,0.4662576687116564,87.0,0.5337423312883436,25.0,0.0,0.0,92.0,1.0,Гражданское,Семейные
2016,"Иные споры об опеке и попечительстве над несовершеннолетними, недееспособными гражданами, гражданами ограниченными в дееспособности",162.0,122.0,0.7530864197530864,40.0,0.2469135802469135,40.0,13.0,0.0802469135802469,2195.0,18.0,Гражданское,Семейные
2017,"Иные споры об опеке и попечительстве над несовершеннолетними, недееспособными гражданами, гражданами ограниченными в дееспособности",364.0,279.0,0.7664835164835165,85.0,0.2335164835164835,134.0,0.0,0.0,1861.0,7.0,Гражданское,Семейные
2016,"Споры, связанные с воспитанием детей",19797.0,16932.0,0.8552811031974542,2865.0,0.1447188968025458,7843.0,1.0,5.051270394504218e-05,39550.0,2.0,Гражданское,Семейные
2017,"Споры, связанные с воспитанием детей",17098.0,14836.0,0.867703825008773,2262.0,0.132296174991227,7404.0,4.0,0.0002339454907006,15623.0,1.0,Гражданское,Семейные
2017,"О признании недействительным решения комиссии по жилищным правам детей-сирот и детей, оставшихся без попечения родителей, по вопросам обеспечения жилым помещением",633.0,480.0,0.7582938388625592,153.0,0.2417061611374407,37.0,0.0,0.0,13.0,0.0,Гражданское,Семейные
2017,"Иные споры, возникающие при реализации Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей""",7159.0,6707.0,0.9368626903198772,452.0,0.0631373096801229,253.0,0.0,0.0,2986.0,0.0,Гражданское,Семейные
2016,"О признании недействительным решения комиссии по жилищным правам детей-сирот и детей, оставшихся без попечения родителей, по вопросам обеспечения жилым помещением",324.0,232.0,0.7160493827160493,92.0,0.2839506172839506,20.0,0.0,0.0,200.0,1.0,Гражданское,Семейные
2016,"Иные споры, возникающие при реализации Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей""",3286.0,3024.0,0.9202678027997564,262.0,0.0797321972002434,112.0,3.0,0.0009129640900791,2675.0,1.0,Гражданское,Семейные
2017,О признании недействительным решения органа власти об отказе в предоставлении ребенку места в дошкольном образовательном учреждении,168.0,87.0,0.5178571428571429,81.0,0.4821428571428571,42.0,0.0,0.0,281.0,3.0,Гражданское,Семейные
