application_id,filing_year,tech_domain,applicant_type,country_origin,industry_sector,international_filing,prior_examination,commercial_potential,market_size_estimate,processing_fee_usd,number_of_claims,number_of_citations,complexity_level,examiner_load,novelty_score,grant_probability,office_action_count
PAT-2000-001,2023,quantum,2,CHN,software,False,1,Yes,53.84,1467.59,35,37,3,Low,Moderate,Medium,3
PAT-2000-002,2022,blockchain,2,CHN,fintech,True,1,Yes,216.01,3849.55,19,25,2,High,Marginal,Low,4
PAT-2000-003,2024,cybersecurity,2,USA,software,True,0,Yes,162.45,529.92,23,13,1,High,Moderate,Low,2
PAT-2000-004,2023,iot,3,USA,hardware,True,0,Yes,29.93,9506.33,13,9,2,Low,Marginal,Low,0
PAT-2000-005,2020,ai_ml,3,USA,software,True,1,No,15.11,6445.82,23,36,2,High,Marginal,Very Low,1
PAT-2000-006,2024,cybersecurity,3,USA,software,True,0,No,6.27,2976.98,16,8,1,Medium,Moderate,Medium,0
PAT-2000-007,2023,blockchain,2,JPN,fintech,True,1,Yes,91.18,9632.17,7,25,1,Low,Moderate,Medium,1
PAT-2000-008,2023,ai_ml,1,CHN,fintech,False,1,No,58.71,4914.28,48,51,2,Low,Breakthrough,High,2
PAT-2000-009,2020,ai_ml,2,DEU,healthtech,True,1,No,55.68,9821.72,24,24,3,Low,Breakthrough,Very High,5
PAT-2000-010,2022,iot,3,IND,healthtech,True,0,Yes,242.71,7786.88,12,8,2,Low,Significant,Low,5
PAT-2000-011,2022,ai_ml,2,CHN,healthtech,False,1,Yes,28.95,3801.6,46,30,3,Low,Moderate,Medium,3
PAT-2000-012,2024,ai_ml,2,USA,software,True,0,No,13.42,884.82,31,12,3,Medium,Significant,Medium,5
PAT-2000-013,2023,ai_ml,1,JPN,software,False,1,No,10.64,1204.42,46,42,2,Medium,Breakthrough,High,3
PAT-2000-014,2023,blockchain,4,RUS,software,False,1,No,9.7,7112.87,5,27,2,Low,Significant,Very High,2
PAT-2000-015,2022,blockchain,2,DEU,fintech,True,1,Yes,84.89,6648.09,10,18,2,High,Moderate,Low,2
PAT-2000-016,2021,iot,2,USA,hardware,True,1,Yes,81.02,9519.51,18,16,1,Medium,Moderate,Medium,2
PAT-2000-017,2022,ai_ml,1,GBR,fintech,False,1,Yes,500.0,5001.64,29,34,2,Low,Moderate,Low,1
PAT-2000-018,2020,ai_ml,2,CHN,software,True,1,Yes,129.56,7115.03,42,42,2,Medium,Marginal,Very Low,3
PAT-2000-019,2023,iot,4,DEU,hardware,False,1,Yes,212.3,9300.4,19,29,3,Medium,Significant,Medium,6
PAT-2000-020,2023,blockchain,4,RUS,software,False,0,No,5.22,8121.06,7,8,2,Medium,Marginal,Low,3
PAT-2000-021,2023,iot,4,IND,hardware,False,1,No,17.94,8034.44,24,30,2,Medium,Marginal,Low,2
PAT-2000-022,2022,ai_ml,2,USA,healthtech,True,1,No,10.8,8708.04,29,33,3,Medium,Breakthrough,Medium,2
PAT-2000-023,2024,ai_ml,1,DEU,fintech,True,0,Yes,500.0,2546.25,17,15,2,Medium,Significant,Medium,3
PAT-2000-024,2024,ai_ml,1,CHN,healthtech,True,1,No,51.38,9955.57,16,31,3,Medium,Breakthrough,High,5
PAT-2000-025,2023,blockchain,3,USA,fintech,True,0,Yes,42.6,1555.54,16,3,1,Medium,Moderate,High,2
PAT-2000-026,2021,blockchain,3,GBR,fintech,False,0,Yes,500.0,8377.75,13,14,2,Medium,Moderate,High,0
PAT-2000-027,2022,quantum,1,CHN,hardware,False,1,No,4.45,2835.25,26,36,2,Low,Significant,High,2
PAT-2000-028,2020,blockchain,2,JPN,fintech,True,1,No,10.07,8144.7,19,17,3,Low,Marginal,Low,2
PAT-2000-029,2021,iot,3,CHN,telecom,False,0,No,90.61,1147.05,28,16,1,Low,Marginal,Low,2
PAT-2000-030,2023,iot,3,USA,hardware,False,1,Yes,402.41,9369.54,28,18,3,Medium,Significant,Medium,5
PAT-2000-031,2023,ai_ml,1,GBR,fintech,True,1,Yes,54.76,1812.87,42,31,2,Low,Breakthrough,High,3
PAT-2000-032,2024,iot,1,USA,hardware,True,0,No,38.11,1014.93,17,9,2,Low,Moderate,Low,0
PAT-2000-033,2021,ai_ml,2,CHN,healthtech,True,0,Yes,35.98,2916.61,47,13,2,Low,Breakthrough,Low,2
PAT-2000-034,2022,blockchain,4,USA,fintech,False,0,No,16.63,7425.54,15,12,2,Medium,Marginal,Low,1
PAT-2000-035,2022,ai_ml,2,USA,fintech,False,0,Yes,27.23,501.21,41,18,2,Medium,Moderate,High,1
PAT-2000-036,2021,quantum,1,GBR,software,True,1,No,23.37,6796.32,46,36,3,Low,Breakthrough,Medium,5
PAT-2000-037,2020,cybersecurity,4,RUS,software,False,1,Yes,239.72,5428.81,22,20,3,High,Significant,Very High,5
PAT-2000-038,2022,ai_ml,3,DEU,software,True,1,No,46.44,8997.65,33,40,2,High,Significant,High,6
PAT-2000-039,2021,iot,3,USA,telecom,True,1,No,6.8,4544.21,28,32,2,Low,Moderate,Medium,2
PAT-2000-040,2023,quantum,3,USA,hardware,False,1,Yes,26.2,9549.21,26,57,2,Medium,Marginal,Low,1
PAT-2000-041,2022,ai_ml,3,DEU,fintech,True,1,Yes,109.74,3701.28,38,27,3,Medium,Marginal,Very Low,5
PAT-2000-042,2023,quantum,1,KOR,hardware,True,1,Yes,500.0,7162.58,32,36,3,Medium,Significant,Very High,4
PAT-2000-043,2023,iot,3,IND,software,True,0,Yes,171.23,1330.4,26,8,3,Medium,Marginal,Low,3
PAT-2000-044,2021,cybersecurity,4,IND,software,False,0,Yes,141.71,913.89,29,9,3,Low,Significant,Low,4
PAT-2000-045,2023,cybersecurity,2,CHN,software,False,0,Yes,58.14,8499.15,16,9,3,Medium,Moderate,High,2
PAT-2000-046,2023,ai_ml,1,CHN,fintech,False,1,Yes,244.68,1693.14,38,34,3,Low,Breakthrough,Medium,6
PAT-2000-047,2022,blockchain,3,DEU,fintech,True,1,Yes,500.0,8174.52,9,26,2,Low,Marginal,Low,0
PAT-2000-048,2021,iot,3,USA,hardware,False,1,Yes,39.21,5367.75,24,28,2,Medium,Moderate,Low,3
PAT-2000-049,2023,ai_ml,2,USA,software,True,0,Yes,237.46,6665.42,46,10,2,Low,Marginal,Low,2
PAT-2000-050,2020,ai_ml,2,CHN,software,True,1,Yes,67.43,4358.23,18,31,2,Low,Moderate,High,1
PAT-2000-051,2021,cybersecurity,2,CHN,software,False,0,Yes,280.08,7715.57,20,8,1,Low,Significant,Medium,1
PAT-2000-052,2020,ai_ml,2,CHN,software,False,1,Yes,164.06,7722.3,50,46,3,Low,Significant,Very High,2
PAT-2000-053,2023,blockchain,4,USA,fintech,False,0,Yes,6.94,6131.49,11,11,3,High,Moderate,Low,4
PAT-2000-054,2023,quantum,1,CHN,hardware,False,1,No,14.84,6294.29,42,27,3,Medium,Moderate,Low,2
PAT-2000-055,2023,ai_ml,3,USA,healthtech,True,0,Yes,99.11,1408.44,22,13,2,High,Significant,Medium,2
PAT-2000-056,2023,blockchain,2,USA,fintech,False,0,No,35.06,3637.32,14,13,2,Medium,Moderate,Low,0
PAT-2000-057,2022,cybersecurity,3,IND,fintech,False,1,Yes,6.75,6916.71,17,15,1,Medium,Significant,Medium,1
PAT-2000-058,2022,blockchain,3,CHN,fintech,True,0,Yes,77.27,8336.35,18,13,3,Medium,Marginal,Very Low,2
