trademark_id,country_registration,mktu_class,industry,applicant_type,trademark_type,representative_firm,priority_claimed,examination_duration_days,mktu_classes_count,company_age_years,previous_applications,trademark_value_k,examination_count,similarity_percent,maintenance_fee_usd,use_before_registration_months,opposition_count
TM20200000,Италия,Класс 04,Сельское хозяйство,ООО,Световой,Не указано,True,58.0,4,0.7,5,8.89,3,24.4,870.73,45.1,0
TM20200001,Казахстан,Класс 22,Сельское хозяйство,Индивидуальный предприниматель,Иероглифы,Не указано,True,34.0,6,1.4,1,6.7,2,7.3,1165.41,51.8,0
TM20200002,Нидерланды,Класс 30,Бытовая техника,ООО,Словесный,Не указано,False,119.0,5,1.9,2,6.19,2,42.8,1198.25,91.6,0
TM20200003,Кыргызстан,Класс 03,Напитки,Государственное предприятие,Словесный,ЮрФирма_BS,True,97.0,3,2.0,2,3.02,4,5.2,831.96,48.5,0
TM20200004,Россия,Класс 01,Телекоммуникации,ЗАО,Комбинированный,Самостоятельно,True,55.0,2,3.9,7,49.09,2,26.6,1164.98,44.6,1
TM20200005,Сингапур,Класс 09,Ювелирные изделия,Индивидуальный предприниматель,Изобразительный,Самостоятельно,True,70.0,3,7.9,1,10.33,1,,18311.352139295646,69.4,1
TM20200006,Великобритания,Класс 30,Розничная торговля,ООО,Комбинированный,ЮрФирма_AP,True,82.0,3,4.4,6,3.99,3,40.9,1082.3,92.8,0
TM20200007,Испания,Класс 22,Научные исследования,Культурное учреждение,Комбинированный,Не указано,False,47.0,3,2.0,9,22.05,5,20.3,1167.51,,0
TM20200008,Россия,Класс 25,Мебель,АО,Обонятельный,Самостоятельно,True,54.0,3,4.2,8,1.39,2,15.2,1224.19,86.5,2
TM20200009,Казахстан,Класс 08,Телекоммуникации,АО,Словесный,Самостоятельно,False,66.0,4,4.2,6,3.19,3,25.5,861.49,100.8,0
TM20200010,Казахстан,Класс 04,Химическая промышленность,Индивидуальный предприниматель,Изобразительный,ЮрФирма_AW,False,105.0,4,15.0,2,11.41,2,58.3,15334.848876934055,24.5,0
TM20200011,Узбекистан,Класс 13,Недвижимость,ООО,Текстильный,,True,55.0,2,4.2,1,8.63,2,18.0,953.99,21.4,0
TM20200012,Армения,Класс 03,Напитки,Муниципальное предприятие,Изобразительный,Не указано,False,82.0,3,1.0,1,14.11,4,21.8,1029.62,,0
TM20200013,Мексика,Класс 27,Ювелирные изделия,Филиал иностранной компании,Комбинированный,ЮрФирма_AR,True,117.0,3,3.3,4,4.32,1,23.2,401.65,107.2,0
TM20200014,Казахстан,Класс 03,Реклама,АО,Словесный,ЮрФирма_AH,True,97.0,3,19.7,0,6.35,4,1.9,906.62,11.3,0
TM20200015,Россия,Класс 05,Косметика,Фермерское хозяйство,Словесный,Самостоятельно,False,45.0,3,5.5,3,7.65,1,48.2,797.89,,0
TM20200016,Беларусь,Класс 12,Рестораны,АО,Изобразительный,Самостоятельно,True,59.0,3,2.2,4,4.65,3,29.6,792.46,77.8,0
TM20200017,Россия,Класс 10,Автомобильная,Ассоциация,Изобразительный,ЮрФирма_AL,True,67.0,5,22.2,9,3.66,1,28.8,727.72,,0
TM20200018,Мексика,Класс 18,Программное обеспечение,Индивидуальный предприниматель,Звуковой,ЮрФирма_AU,True,52.0,3,0.5,5,500.0,4,24.6,1167.86,,0
TM20200019,Армения,Класс 09,Химическая промышленность,ООО,Комбинированный,Самостоятельно,True,35.0,1,2.1,2,3.86,3,20.3,615.92,35.6,0
TM20200020,Франция,Класс 40,Ювелирные изделия,Фонд,Анимационный,Не указано,False,92.0,4,1.1,0,7.28,1,32.1,1168.03,84.9,0
TM20200021,Казахстан,Класс 35,ИТ-услуги,Крестьянское хозяйство,Цветовой,ЮрФирма_BV,True,44.0,2,5.9,3,62.72,3,24.3,9798.283895108034,104.3,0
TM20200022,Сингапур,Класс 37,Телекоммуникации,Корпорация,Словесный,Самостоятельно,True,55.0,3,4.5,5,32.92,3,,1394.5,67.6,0
TM20200023,Чехия,Класс 20,Научные исследования,Холдинг,Словесный,ЮрФирма_BF,False,76.0,6,30.3,3,14.28,2,9.3,1064.73,,0
TM20200024,Италия,Класс 20,Бытовая техника,Муниципальное предприятие,Цветовой,Самостоятельно,True,68.0,5,3.4,0,3.19,4,31.7,1380.21,86.1,0
TM20200025,Россия,Класс 19,Одежда и обувь,Холдинг,Изобразительный,Самостоятельно,False,52.0,3,2.3,4,42.25,4,10.2,901.34,79.8,2
TM20200026,Казахстан,Класс 08,Реклама,ООО,Изобразительный,Не указано,False,108.0,2,0.1,15,6.85,2,,989.04,37.1,0
TM20200027,Россия,Класс 06,Ювелирные изделия,ЗАО,Словесный,Самостоятельно,False,48.0,4,15.6,8,11.07,1,23.3,1255.51,40.1,2
TM20200028,Россия,Класс 18,Полиграфия,Холдинг,Объемный,ЮрФирма_BC,True,87.0,4,0.1,1,494.92,3,51.1,1029.35,118.6,6
TM20200029,Кыргызстан,Класс 01,Развлечения,ПАО,Словесный,ЮрФирма_AO,False,80.0,3,1.3,1,10.68,3,22.5,789.36,47.8,0
TM20200030,Южная Корея,Класс 01,Туризм,Кооператив,Словесный,Не указано,False,82.0,2,7.3,7,5.96,3,15.5,17565.63159491006,13.0,0
TM20200031,Саудовская Аравия,Класс 35,Машиностроение,ЗАО,Комбинированный,ЮрФирма_AD,False,39.0,3,8.9,3,1.35,2,30.9,1230.9,33.3,0
TM20200032,Россия,Класс 01,Химическая промышленность,Индивидуальный предприниматель,Световой,Самостоятельно,False,67.0,4,5.2,12,3.15,2,55.8,1043.56,50.1,3
TM20200033,Казахстан,Класс 13,Косметика,ООО,Словесный,ЮрФирма_BV,True,74.0,3,0.3,7,36.57,2,17.5,1003.4,64.0,0
TM20200034,Казахстан,Класс 19,Научные исследования,Религиозная организация,Звуковой,ЮрФирма_AH,True,77.0,4,3.4,16,15.92,1,,1160.76,54.4,0
TM20200035,Россия,Класс 03,Реклама,Индивидуальный предприниматель,Изобразительный,Самостоятельно,False,64.0,5,8.9,1,11.5,1,22.7,691.69,94.4,1
TM20200036,Россия,Класс 38,Полиграфия,Союз,Изобразительный,ЮрФирма_BW,True,83.0,6,3.9,2,13.87,1,11.6,1120.13,102.0,2
TM20200037,Казахстан,Класс 03,Гостиничный бизнес,Индивидуальный предприниматель,Изобразительный,Не указано,True,65.0,4,0.2,4,3.5,2,7.3,977.2,87.5,0
TM20200038,Россия,Класс 38,Недвижимость,АО,Словесный,ЮрФирма_AU,True,51.0,3,5.7,16,11.79,1,5.1,678.46,45.7,0
TM20200039,Кыргызстан,Класс 29,Образование,Государственное предприятие,Изобразительный,ЮрФирма_AA,False,52.0,3,1.1,0,7.39,5,23.1,8651.23121627965,33.7,0
TM20200040,Казахстан,Класс 04,Пищевая промышленность,АО,Речевой,ЮрФирма_AN,False,79.0,4,,2,21.77,3,23.2,1392.95,107.9,0
TM20200041,Канада,Класс 03,Строительство,Некоммерческая организация,Словесный,ЮрФирма_BA,False,53.0,4,0.1,10,7.91,2,33.4,825.77,62.4,0
TM20200042,Китай,Класс 06,Гостиничный бизнес,Индивидуальный предприниматель,Шрифт,Самостоятельно,True,85.0,6,1.1,0,4.67,2,28.8,1074.36,28.1,0
TM20200043,Россия,Класс 07,Развлечения,ЗАО,Словесный,ЮрФирма_BK,True,53.0,3,0.7,1,11.41,4,15.3,1246.36,9.2,0
TM20200044,Канада,Класс 04,Финансовые услуги,ПАО,Изобразительный,ЮрФирма_AL,True,46.0,3,17.8,1,6.24,2,56.2,847.22,,1
TM20200045,Индия,Класс 45,Транспорт,Фермерское хозяйство,Комбинированный,Не указано,False,120.0,2,0.8,5,14.27,5,26.1,1633.55,109.9,0
TM20200046,Казахстан,Класс 04,Рестораны,Индивидуальный предприниматель,Голографический,ЮрФирма_AK,True,102.0,2,1.6,4,9.09,3,44.7,1274.42,108.1,0
TM20200047,Россия,Класс 34,Логистика,ООО,Словесный,ЮрФирма_BJ,False,71.0,5,8.8,4,19.57,2,34.9,861.12,94.0,0
TM20200048,Кыргызстан,Класс 03,Консалтинг,Иностранная компания,Словесный,Не указано,True,58.0,2,3.2,1,23.65,1,13.7,12311.36011840265,75.6,0
TM20200049,Россия,Класс 44,Сельское хозяйство,Творческий коллектив,Комбинированный,Самостоятельно,False,85.0,4,0.2,13,31.11,3,19.0,100.0,56.4,4
TM20200050,Россия,Класс 04,Пищевая промышленность,Фонд,Словесный,ЮрФирма_BF,True,129.0,5,2.0,1,12.27,1,20.2,1115.29,,1
TM20200051,Россия,Класс 08,Пищевая промышленность,Религиозная организация,Комбинированный,Не указано,False,60.0,4,0.4,9,9.15,2,32.9,1751.12,56.7,2
TM20200052,Испания,Класс 15,Спорт,ЗАО,Голографический,Самостоятельно,False,118.0,3,0.9,10,19.87,5,31.9,1041.18,98.5,0
TM20200053,Кыргызстан,Класс 02,Оптовая торговля,ПАО,Словесный,ЮрФирма_AA,False,58.0,3,5.7,2,15.63,1,36.4,847.57,52.4,0
TM20200054,Китай,Класс 33,Металлургия,Ассоциация,Цветовой,ЮрФирма_AA,False,42.0,3,1.8,3,15.05,1,22.0,1123.47,113.8,1
TM20200055,Испания,Класс 05,Ювелирные изделия,Союз,Словесный,,True,70.0,4,9.3,3,12.85,2,37.3,478.94,54.4,0
TM20200056,Казахстан,Класс 15,Пищевая промышленность,Государственное предприятие,Динамический,ЮрФирма_BC,False,39.0,2,,4,15.86,1,28.3,1379.8,,0
TM20200057,Беларусь,Класс 15,Розничная торговля,Некоммерческая организация,Надпись,Не указано,False,84.0,5,2.4,2,7.36,3,13.5,944.94,,0
TM20200058,Россия,Класс 18,Химическая промышленность,Кооператив,Объемный,ЮрФирма_AE,True,45.0,3,2.8,7,14.35,4,18.3,762.21,88.2,2
